imdbId,movie_title,title_year,releaseDate,genres,writers,director_name,sequel,hitFlop,actor_1_name,actor_2_name,actor_3_name,actor_4_name
tt1479667,Aagey Se Right,2009,04-Sep-09,Comedy | Crime | Drama,Abhijeet Deshpande (additional dialogue) | Hitesh Kewalya (lyrics) | Jabbar Patel | Dheeraj Rattan (additional screenplay) | Manoj Santoshi (additional dialogue),Indrajit Nattooji,0,2,Shreyas Talpade , Bharati Achrekar , Shaukat Baig , Rakesh Bedi
tt1479857,Zor Lagaa Ke... Haiya!,2009,12-Jun-09,Comedy | Drama | Family,N/A,Girish Girija Joshi,0,1,Meghan Jadhav , Mithun Chakraborty , Riya Sen , Seema Biswas
tt1485072,Teree Sang: A Kidult Love Story,2009,07-Aug-09,Drama | Romance,Sanjay Chauhan (screenplay) | Jainendra Jain (screenplay) | Anuj Kapoor (screenplay) | Satish Kaushik (story),Satish Kaushik,0,2,Ruslaan Mumtaz , Sheena Shahabadi , Rajat Kapoor , Neena Gupta
tt1499201,Anjaana Anjaani,2010,01-Oct-10,Comedy | Drama | Musical,Mamta Anand (story) | Siddharth Anand (dialogue) | Siddharth Anand (screenplay) | Vishal Dadlani (lyrics) | Advaita Kala (screenplay) | Kumaar (lyrics) | Kausar Munir (lyrics),Siddharth Anand,0,4,Priyanka Chopra , Carl Marino , Ranbir Kapoor , Aubrey K. Miller
tt1501301,Morning Walk,2009,10-Jul-09,Drama,Rohit G. Banawlikar (screenplay) | Arup Dutta (story) | Sujit Sen,Arup Dutta,0,1,Nargis Bagheri , Divya Dutta , Avika Gor , Rajit Kapoor
tt1503640,Damadamm!,2011,27-Oct-11,Comedy | Drama | Romance,Himesh Reshammiya (story) | Subrat Sinha (screenplay),Swapna Joshi,0,1,Himesh Reshammiya , Sonal Sehgal , Purbi Joshi , Rajesh Khattar
tt1504687,I Am Singh,2011,N/A,Action | Crime | Drama,Gary Castro Churchwell (additional dialogue) | Deepali Issar (story) | Puneet Issar (story) | Puneet Issar | Satyajit Puri (story),Puneet Issar,0,1,Joseph Armillas , Anto Boghokian , Elissa Brentano , Gerald Brodin
tt1508259,Dhara,2008,15-Feb-08,Drama | Romance,Ibrahim Ashq (lyrics) | Masud Mirza (screenplay),Masud Mirza,0,1,Sudhanshu Pandey , Hrishitaa Bhatt , Anuj Punj , Suman Agarwal
tt1508950,Baabarr,2009,11-Sep-09,Action | Crime | Drama,Ikram Akhtar (dialogue) | Ikram Akhtar | Vivek Misra (dialogue),Ashu Trikha,0,1,Mithun Chakraborty , Om Puri , Sohum Shah , Urvashi Sharma
tt1509732,Aisha,2010,06-Aug-10,Comedy | Drama | Romance,Jane Austen (novel) | Devika Bhagat (screenplay) | Devika Bhagat (dialogue) | Ritu Bhatia (dialogue) | Manu Rishi Chadha (dialogue),Rajshree Ojha,0,2,Sonam Kapoor , Abhay Deol , Amrita Puri , Cyrus Sahukar
tt1512220,My Friend Pinto,2011,21-Oct-11,Comedy | Crime | Drama,Raaghav Dar (story) | Arun Sukumar (story),Raaghav Dar,0,1,Prateik , Kalki Koechlin , Arjun Mathur , Shruti Seth
tt1512321,Vaada Raha... I Promise,2009,11-Sep-09,Drama,Aseem Arora | Sandeep Chatterjee (lyrics) | Samir Karnik (screenplay) | Babbu Mann (lyrics) | Sandeep Nath (lyrics) | Rahul Seth (lyrics) | A.M. Turaz (lyrics),Samir Karnik,0,1,Bobby Deol , Dwij Yadav , Kangana Ranaut , Mohnish Bahl
tt1522329,Tum Mile,2009,13-Nov-09,Drama | Romance,Kumaar (lyrics) | Sayeed Qadri (lyrics) | Ankur Tewari,Kunal Deshmukh,0,1,Mantra , Prerna Chawla , Emraan Hashmi , J. Brandon Hill
tt1532957,Paa,2009,04-Dec-09,Comedy | Drama,R. Balki,R. Balki,0,5,Amitabh Bachchan , Abhishek Bachchan , Vidya Balan , Paresh Rawal
tt1535467,Patiala House,2011,11-Feb-11,Comedy | Drama | Sport,Nikhil Advani (story) | Earl D'Souza (lyrics) | Anvita Dutt Guptan (dialogues) | Harshdeep Kaur (lyrics),Nikhil Advani,0,2,Rishi Kapoor , Dimple Kapadia , Akshay Kumar , Anushka Sharma
